status,country,countryCode,region,regionName,city,zip,lat,lon,timezone,isp,org,as,query
success,United States,US,VA,Virginia,Ashburn,20149,39.03,-77.5,America/New_York,Google LLC,Google Public DNS,AS15169 Google LLC,8.8.8.8
success,Australia,AU,QLD,Queensland,South Brisbane,4101,-27.4766,153.0166,Australia/Brisbane,"Cloudflare, Inc",APNIC and Cloudflare DNS Resolver project,"AS13335 Cloudflare, Inc.",1.1.1.1
success,United States,US,CA,California,San Francisco,94107,37.7642,-122.3993,America/Los_Angeles,"Cisco OpenDNS, LLC","Cisco OpenDNS, LLC","AS36692 Cisco OpenDNS, LLC",208.67.222.222
success,United States,US,CA,California,Berkeley,94709,37.8767,-122.2676,America/Los_Angeles,Quad9,Quad9,AS19281 Quad9,9.9.9.9
success,United States,US,CA,California,San Francisco,94107,37.7823,-122.391,America/Los_Angeles,"Fastly, Inc.","GitHub, Inc","AS54113 Fastly, Inc.",185.199.108.153
success,United States,US,CO,Colorado,Denver,80208,39.7392,-104.99,America/Denver,Google LLC,Google LLC,AS15169 Google LLC,142.250.72.14
success,United States,US,CA,California,San Francisco,94107,37.7642,-122.3993,America/Los_Angeles,"Fastly, Inc.","Fastly, Inc.","AS54113 Fastly, Inc.",151.101.1.69
success,United States,US,CA,California,San Francisco,94103,37.7766,-122.417,America/Los_Angeles,Twitter Inc.,Twitter Inc,AS13414 Twitter Inc.,104.244.42.1
success,United States,US,CA,California,Mountain View,94043,37.4043,-122.0748,America/Los_Angeles,Google LLC,Google LLC,AS15169 Google LLC,216.58.214.238
success,United States,US,VA,Virginia,Ashburn,20149,39.0438,-77.4874,America/New_York,"Amazon.com, Inc.",AWS CloudFront (GLOBAL),"AS16509 Amazon.com, Inc.",13.224.0.0
